@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,3,12'

@attribute numFingers numeric
@attribute ratio numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
1,1,G1
0,0,G1
1,1,G1
2,0.016534,G0
1,1,G0
3,0.011292,G0
3,0.010951,G0
3,0.011335,G0
3,0.011234,G0
3,0.011063,G0
3,0.011482,G0
2,0.017025,G0
2,0.016541,G0
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G3
0,0,G3
1,1,G3
1,1,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
2,0.00996,G4
2,0.009741,G4
1,1,G4
1,1,G4
2,0.01593,G4
3,0.026462,G4
3,0.020799,G4
2,0.010248,G4
2,0.010268,G4
2,0.010397,G4
1,1,G5
2,0.020365,G5
2,0.020396,G5
2,0.020314,G5
2,0.019104,G5
1,1,G5
2,0.019072,G5
1,1,G5
0,0,G5
1,1,G5
3,0.014228,G6
1,1,G6
3,0.014499,G6
3,0.014726,G6
3,0.015094,G6
3,0.015183,G6
3,0.015188,G6
2,0.014549,G6
3,0.014668,G6
3,0.01502,G6
2,0.010028,G7
2,0.009677,G7
2,0.009634,G7
2,0.009664,G7
2,0.010198,G7
3,0.012656,G7
2,0.009721,G7
2,0.012008,G7
2,0.009612,G7
2,0.010206,G7
3,0.009102,G8
2,0.010508,G8
3,0.009269,G8
2,0.010403,G8
3,0.008864,G8
2,0.010401,G8
3,0.009289,G8
2,0.010335,G8
3,0.008903,G8
3,0.008751,G8
4,0.009334,G9
5,0.007592,G9
5,0.007429,G9
5,0.008589,G9
1,1,G9
5,0.008053,G9
1,1,G9
5,0.008228,G9
5,0.008337,G9
4,0.008789,G9
1,1,G1
1,1,G1
0,0,G1
1,1,G1
1,1,G1
1,1,G1
1,1,G1
1,1,G1
0,0,G1
0,0,G1
3,0.01326,G0
3,0.012111,G0
3,0.011576,G0
3,0.011578,G0
4,0.013132,G0
3,0.01185,G0
3,0.011932,G0
3,0.011733,G0
3,0.012033,G0
3,0.013269,G0
1,1,G2
1,1,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
2,0.019961,G2
2,0.019659,G2
2,0.019598,G2
2,0.019374,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
2,0.01554,G3
1,1,G3
1,1,G3
1,1,G3
2,0.012328,G4
2,0.011536,G4
2,0.011128,G4
3,0.016534,G4
3,0.017193,G4
3,0.015802,G4
3,0.015629,G4
3,0.015646,G4
2,0.012082,G4
2,0.01208,G4
2,0.0152,G5
2,0.015219,G5
2,0.014849,G5
3,0.011702,G5
2,0.015345,G5
2,0.015076,G5
2,0.015137,G5
2,0.015417,G5
2,0.015915,G5
2,0.01531,G5
3,0.016703,G6
4,0.018297,G6
3,0.014526,G6
3,0.015055,G6
3,0.01664,G6
3,0.016096,G6
3,0.016718,G6
3,0.016642,G6
3,0.016364,G6
3,0.016364,G6
2,0.009295,G7
3,0.010929,G7
3,0.010705,G7
2,0.010597,G7
2,0.010411,G7
3,0.010765,G7
4,0.01063,G7
4,0.012277,G7
4,0.012637,G7
4,0.012722,G7
4,0.014992,G8
2,0.014084,G8
3,0.010925,G8
3,0.011431,G8
3,0.011112,G8
3,0.011275,G8
3,0.011513,G8
3,0.01142,G8
4,0.012065,G8
4,0.016023,G8
5,0.009365,G9
5,0.009064,G9
5,0.00898,G9
5,0.009104,G9
5,0.0092,G9
5,0.0099,G9
5,0.009947,G9
3,0.010154,G9
3,0.010568,G9
5,0.009201,G9
0,0,G1
1,1,G1
2,0.084103,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
4,0.012041,G0
3,0.013015,G0
3,0.013016,G0
5,0.02434,G0
3,0.012943,G0
3,0.01283,G0
3,0.013519,G0
2,0.023369,G0
4,0.012594,G0
4,0.012185,G0
1,1,G2
0,0,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G2
2,0.021951,G3
0,0,G3
2,0.016166,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
2,0.012878,G4
2,0.01306,G4
3,0.01925,G4
2,0.012842,G4
1,1,G4
2,0.012948,G4
1,1,G4
3,0.022598,G4
2,0.012736,G4
3,0.024596,G4
3,0.038341,G5
3,0.012941,G5
3,0.013449,G5
2,0.019839,G5
3,0.012127,G5
2,0.019658,G5
2,0.018716,G5
2,0.018838,G5
2,0.018583,G5
3,0.039843,G5
3,0.013051,G6
3,0.012564,G6
3,0.01325,G6
4,0.009914,G6
3,0.013093,G6
3,0.013391,G6
4,0.010097,G6
4,0.012,G6
3,0.012938,G6
3,0.013074,G6
2,0.010995,G7
2,0.018794,G7
1,1,G7
3,0.011389,G7
3,0.011811,G7
4,0.013733,G7
2,0.011211,G7
4,0.025956,G7
4,0.027612,G7
3,0.015468,G7
3,0.014554,G8
2,0.016555,G8
3,0.013906,G8
4,0.040954,G8
3,0.0143,G8
3,0.0143,G8
3,0.013716,G8
3,0.013726,G8
3,0.014045,G8
3,0.01463,G8
5,0.009553,G9
5,0.010038,G9
5,0.010154,G9
4,0.01013,G9
4,0.010769,G9
4,0.010833,G9
5,0.009926,G9
5,0.009939,G9
5,0.010001,G9
5,0.009463,G9
1,1,G1
1,1,G1
1,1,G1
1,1,G1
1,1,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
3,0.009691,G0
3,0.010008,G0
3,0.009704,G0
3,0.0098,G0
3,0.009855,G0
3,0.009939,G0
3,0.010025,G0
3,0.010064,G0
4,0.011507,G0
3,0.009828,G0
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G3
2,0.027471,G3
2,0.027034,G3
2,0.027406,G3
1,1,G3
1,1,G3
1,1,G3
2,0.032967,G3
1,1,G3
1,1,G3
3,0.017313,G4
2,0.012781,G4
2,0.011889,G4
3,0.016734,G4
3,0.01771,G4
3,0.017813,G4
3,0.017429,G4
3,0.017021,G4
3,0.017078,G4
2,0.011987,G4
2,0.019279,G5
2,0.019031,G5
2,0.018852,G5
2,0.018789,G5
2,0.019128,G5
2,0.018975,G5
2,0.018805,G5
2,0.018422,G5
2,0.019224,G5
2,0.018755,G5
3,0.015212,G6
3,0.015099,G6
3,0.015395,G6
3,0.015289,G6
3,0.015566,G6
3,0.015577,G6
3,0.015452,G6
3,0.015818,G6
3,0.01405,G6
3,0.014772,G6
2,0.011602,G7
2,0.010613,G7
2,0.010653,G7
2,0.010793,G7
2,0.010667,G7
2,0.010679,G7
2,0.010435,G7
2,0.010907,G7
2,0.012078,G7
2,0.012448,G7
3,0.009312,G8
3,0.009687,G8
4,0.010678,G8
4,0.010698,G8
3,0.009731,G8
3,0.009711,G8
3,0.009788,G8
3,0.009503,G8
3,0.009626,G8
4,0.010783,G8
5,0.008834,G9
5,0.0082,G9
5,0.007958,G9
5,0.008063,G9
5,0.008047,G9
5,0.008023,G9
5,0.008293,G9
5,0.008237,G9
5,0.008358,G9
5,0.008271,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.012631,G0
3,0.012653,G0
3,0.012625,G0
3,0.012654,G0
3,0.01246,G0
2,0.026022,G0
3,0.012846,G0
3,0.012614,G0
3,0.01251,G0
3,0.012624,G0
1,1,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G3
2,0.016718,G3
0,0,G3
0,0,G3
1,1,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
0,0,G3
1,1,G4
2,0.014298,G4
2,0.017128,G4
2,0.013906,G4
2,0.016069,G4
2,0.013521,G4
2,0.011151,G4
2,0.012976,G4
2,0.013781,G4
1,1,G4
2,0.024069,G5
2,0.021582,G5
2,0.020918,G5
0,0,G5
2,0.02335,G5
2,0.023011,G5
2,0.023433,G5
3,0.03708,G5
0,0,G5
0,0,G5
2,0.029199,G6
3,0.019888,G6
1,1,G6
3,0.019445,G6
3,0.019722,G6
2,0.024261,G6
3,0.021595,G6
1,1,G6
1,1,G6
3,0.020074,G6
2,0.016136,G7
2,0.012156,G7
0,0,G7
1,1,G7
2,0.010072,G7
2,0.010905,G7
0,0,G7
2,0.010467,G7
2,0.010653,G7
2,0.01051,G7
3,0.010541,G8
3,0.011822,G8
2,0.015422,G8
2,0.017883,G8
3,0.011711,G8
3,0.011191,G8
3,0.011619,G8
2,0.015418,G8
3,0.010716,G8
3,0.011375,G8
5,0.009301,G9
5,0.010669,G9
5,0.009081,G9
5,0.009167,G9
5,0.009374,G9
4,0.010555,G9
5,0.009925,G9
5,0.009157,G9
