@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,4,12'

@attribute numFingers numeric
@attribute Max_X numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,-0.299509,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,-0.364708,G1
1,-0.485387,G1
0,0,G1
1,-0.295764,G1
2,0.238329,G0
1,0.397396,G0
3,0.493598,G0
3,0.355675,G0
3,0.57835,G0
3,0.724144,G0
3,0.508686,G0
3,0.530267,G0
2,0.362851,G0
2,0.221858,G0
0,0,G2
1,-0.10714,G2
1,-0.176397,G2
1,-0.180172,G2
1,-0.163734,G2
1,-0.147143,G2
1,-0.138131,G2
1,-0.20808,G2
0,0,G2
1,-0.358454,G2
1,0.541412,G3
0,0,G3
1,0.462858,G3
1,0.659998,G3
0,0,G3
1,0.476256,G3
1,0.392557,G3
1,0.390461,G3
1,0.306161,G3
1,0.465563,G3
2,-0.308619,G4
2,-0.193841,G4
1,0.761958,G4
1,-0.870415,G4
2,-0.442109,G4
3,2.217399,G4
3,0.025788,G4
2,-0.216412,G4
2,-0.337742,G4
2,-0.201674,G4
1,0.057267,G5
2,0.064748,G5
2,-0.022499,G5
2,-0.009446,G5
2,0.006147,G5
1,0.019301,G5
2,0.039962,G5
1,0.032045,G5
0,0,G5
1,0.08606,G5
3,0.139896,G6
1,0.216966,G6
3,0.157546,G6
3,0.14616,G6
3,0.141615,G6
3,0.212588,G6
3,0.417174,G6
2,-0.166341,G6
3,-0.073798,G6
3,0.082209,G6
2,0.844688,G7
2,0.811327,G7
2,0.842655,G7
2,1.014016,G7
2,0.91576,G7
3,0.86249,G7
2,0.508107,G7
2,0.839336,G7
2,0.644728,G7
2,0.29487,G7
3,0.483445,G8
2,0.829864,G8
3,0.567829,G8
2,0.761607,G8
3,0.642846,G8
2,0.283297,G8
3,0.607018,G8
2,0.633312,G8
3,0.447865,G8
3,0.622475,G8
4,0.530258,G9
5,0.579419,G9
5,0.695679,G9
5,0.791347,G9
1,-0.799085,G9
5,0.850534,G9
1,-0.788799,G9
5,0.653589,G9
5,0.904786,G9
4,0.522232,G9
1,-0.768864,G1
1,-0.616738,G1
0,0,G1
1,-0.553091,G1
1,-0.50255,G1
1,-0.617926,G1
1,-0.739105,G1
1,-0.698455,G1
0,0,G1
0,0,G1
3,0.426401,G0
3,0.588854,G0
3,0.471281,G0
3,0.58508,G0
4,0.857719,G0
3,0.270615,G0
3,0.302741,G0
3,0.347208,G0
3,0.385278,G0
3,0.543801,G0
1,-0.215154,G2
1,0.795045,G2
0,0,G2
0,0,G2
1,-0.186899,G2
1,-0.122636,G2
2,0.024574,G2
2,0.129716,G2
2,0.138083,G2
2,0.035481,G2
1,-0.108901,G3
1,0.483535,G3
1,0.313593,G3
1,0.147303,G3
1,0.40733,G3
1,0.261888,G3
2,0.72652,G3
1,0.20873,G3
1,0.04827,G3
1,0.102806,G3
2,-0.373879,G4
2,-0.434245,G4
2,-0.413022,G4
3,-0.037151,G4
3,-0.000103,G4
3,-0.060346,G4
3,-0.033475,G4
3,-0.013315,G4
2,-0.447857,G4
2,-0.45698,G4
2,0.264451,G5
2,0.30508,G5
2,0.161662,G5
3,1.997881,G5
2,0.207566,G5
2,0.263061,G5
2,0.295778,G5
2,0.302774,G5
2,0.291047,G5
2,0.345031,G5
3,0.054545,G6
4,0.341613,G6
3,0.183539,G6
3,0.132188,G6
