@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,4,6,12'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,-0.299509,1,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,1,-0.364708,1,G1
0,1,-0.485387,1,G1
0,0,0,0,G1
0,1,-0.295764,1,G1
1101,0.016534,0.238329,32.128532,G0
1101,1,0.397396,1,G0
1101,0.011292,0.493598,23.471453,G0
1101,0.010951,0.355675,23.955109,G0
1101,0.011335,0.57835,23.617138,G0
1101,0.011234,0.724144,23.632465,G0
1101,0.011063,0.508686,23.944956,G0
1101,0.011482,0.530267,23.390223,G0
1101,0.017025,0.362851,31.454571,G0
1101,0.016541,0.221858,31.916876,G0
1000,0,0,0,G2
1000,1,-0.10714,1,G2
1000,1,-0.176397,1,G2
1000,1,-0.180172,1,G2
1000,1,-0.163734,1,G2
1000,1,-0.147143,1,G2
1000,1,-0.138131,1,G2
1000,1,-0.20808,1,G2
1000,0,0,0,G2
1000,1,-0.358454,1,G2
1,1,0.541412,1,G3
1,0,0,0,G3
1,1,0.462858,1,G3
1,1,0.659998,1,G3
1,0,0,0,G3
1,1,0.476256,1,G3
1,1,0.392557,1,G3
1,1,0.390461,1,G3
1,1,0.306161,1,G3
1,1,0.465563,1,G3
11000,0.00996,-0.308619,68.443039,G4
11000,0.009741,-0.193841,73.717079,G4
11000,1,0.761958,1,G4
11000,1,-0.870415,1,G4
11000,0.01593,-0.442109,36.890366,G4
11000,0.026462,2.217399,99.374763,G4
11000,0.020799,0.025788,54.74033,G4
11000,0.010248,-0.216412,64.424599,G4
11000,0.010268,-0.337742,69.695953,G4
11000,0.010397,-0.201674,73.834328,G4
1100,1,0.057267,1,G5
1100,0.020365,0.064748,25.616379,G5
1100,0.020396,-0.022499,25.629665,G5
1100,0.020314,-0.009446,25.679893,G5
1100,0.019104,0.006147,27.027773,G5
1100,1,0.019301,1,G5
1100,0.019072,0.039962,27.902817,G5
1100,1,0.032045,1,G5
1100,0,0,0,G5
1100,1,0.08606,1,G5
1110,0.014228,0.139896,18.979395,G6
1110,1,0.216966,1,G6
1110,0.014499,0.157546,18.622959,G6
1110,0.014726,0.14616,18.366129,G6
1110,0.015094,0.141615,17.936562,G6
1110,0.015183,0.212588,17.76836,G6
1110,0.015188,0.417174,17.800419,G6
1110,0.014549,-0.166341,38.0121,G6
1110,0.014668,-0.073798,18.599554,G6
1110,0.01502,0.082209,18.201717,G6
10001,0.010028,0.844688,69.908165,G7
10001,0.009677,0.811327,77.238541,G7
10001,0.009634,0.842655,79.161362,G7
10001,0.009664,1.014016,83.083595,G7
10001,0.010198,0.91576,78.348076,G7
10001,0.012656,0.86249,44.688377,G7
10001,0.009721,0.508107,78.815231,G7
10001,0.012008,0.839336,75.410538,G7
10001,0.009612,0.644728,79.038055,G7
10001,0.010206,0.29487,70.284538,G7
11001,0.009102,0.483445,31.84795,G8
11001,0.010508,0.829864,87.031273,G8
11001,0.009269,0.567829,31.582924,G8
11001,0.010403,0.761607,88.510788,G8
11001,0.008864,0.642846,34.360435,G8
11001,0.010401,0.283297,81.049911,G8
11001,0.009289,0.607018,31.013523,G8
11001,0.010335,0.633312,71.723534,G8
11001,0.008903,0.447865,32.058792,G8
11001,0.008751,0.622475,33.020748,G8
11111,0.009334,0.530258,16.910755,G9
11111,0.007592,0.579419,13.740136,G9
11111,0.007429,0.695679,14.779031,G9
11111,0.008589,0.791347,11.713248,G9
11111,1,-0.799085,1,G9
11111,0.008053,0.850534,11.588235,G9
11111,1,-0.788799,1,G9
11111,0.008228,0.653589,11.072308,G9
11111,0.008337,0.904786,10.192496,G9
11111,0.008789,0.522232,16.426311,G9
0,1,-0.768864,1,G1
0,1,-0.616738,1,G1
0,0,0,0,G1
0,1,-0.553091,1,G1
0,1,-0.50255,1,G1
0,1,-0.617926,1,G1
0,1,-0.739105,1,G1
0,1,-0.698455,1,G1
0,0,0,0,G1
0,0,0,0,G1
1101,0.01326,0.426401,19.429249,G0
1101,0.012111,0.588854,22.119347,G0
1101,0.011576,0.471281,22.894224,G0
1101,0.011578,0.58508,23.186516,G0
1101,0.013132,0.857719,19.955507,G0
1101,0.01185,0.270615,22.108004,G0
1101,0.011932,0.302741,22.267647,G0
1101,0.011733,0.347208,22.644402,G0
1101,0.012033,0.385278,21.962376,G0
1101,0.013269,0.543801,19.529358,G0
1000,1,-0.215154,1,G2
1000,1,0.795045,1,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,1,-0.186899,1,G2
1000,1,-0.122636,1,G2
1000,0.019961,0.024574,18.586517,G2
1000,0.019659,0.129716,18.952829,G2
1000,0.019598,0.138083,19.019991,G2
1000,0.019374,0.035481,20.502623,G2
1,1,-0.108901,1,G3
1,1,0.483535,1,G3
1,1,0.313593,1,G3
1,1,0.147303,1,G3
1,1,0.40733,1,G3
1,1,0.261888,1,G3
1,0.01554,0.72652,43.806084,G3
1,1,0.20873,1,G3
1,1,0.04827,1,G3
1,1,0.102806,1,G3
11000,0.012328,-0.373879,53.363533,G4
11000,0.011536,-0.434245,55.445675,G4
11000,0.011128,-0.413022,57.632858,G4
11000,0.016534,-0.037151,18.210123,G4
11000,0.017193,-0.000103,17.409941,G4
11000,0.015802,-0.060346,18.754187,G4
11000,0.015629,-0.033475,19.466267,G4
11000,0.015646,-0.013315,19.616816,G4
11000,0.012082,-0.447857,53.907883,G4
11000,0.01208,-0.45698,54.080479,G4
1100,0.0152,0.264451,35.383423,G5
1100,0.015219,0.30508,35.510876,G5
1100,0.014849,0.161662,36.217762,G5
1100,0.011702,1.997881,28.439514,G5
1100,0.015345,0.207566,35.175339,G5
1100,0.015076,0.263061,36.02306,G5
1100,0.015137,0.295778,35.848511,G5
1100,0.015417,0.302774,35.379021,G5
1100,0.015915,0.291047,33.79295,G5
1100,0.01531,0.345031,35.247337,G5
1110,0.016703,0.054545,15.573933,G6
1110,0.018297,0.341613,14.413544,G6
1110,0.014526,0.183539,17.945267,G6
1110,0.015055,0.132188,17.476412,G6
1110,0.01664,0.299692,15.826111,G6
1110,0.016096,0.177524,16.318581,G6
1110,0.016718,0.124065,15.603787,G6
1110,0.016642,0.15952,15.716647,G6
1110,0.016364,0.093541,16.018442,G6
1110,0.016364,0.025135,16.020119,G6
10001,0.009295,1.095423,80.422737,G7
10001,0.010929,1.109315,41.267994,G7
10001,0.010705,0.911542,40.350845,G7
10001,0.010597,0.83926,74.734032,G7
10001,0.010411,1.004514,76.033142,G7
10001,0.010765,0.944776,40.558052,G7
10001,0.01063,1.053624,26.645836,G7
10001,0.012277,1.353392,26.544914,G7
10001,0.012637,1.458554,27.584511,G7
10001,0.012722,1.367796,26.861992,G7
11001,0.014992,1.775124,17.067598,G8
11001,0.014084,0.288527,40.308922,G8
11001,0.010925,0.32148,25.895041,G8
11001,0.011431,0.155239,24.940514,G8
11001,0.011112,0.274512,25.743473,G8
11001,0.011275,0.31914,25.42441,G8
11001,0.011513,0.479261,24.691273,G8
11001,0.01142,0.500359,24.97603,G8
11001,0.012065,0.446692,17.722002,G8
11001,0.016023,2.231167,18.097288,G8
11111,0.009365,0.912641,10.475904,G9
11111,0.009064,0.795213,10.736491,G9
11111,0.00898,0.66777,10.215485,G9
11111,0.009104,0.777736,10.836102,G9
11111,0.0092,0.782084,10.868353,G9
11111,0.0099,0.792103,9.782095,G9
11111,0.009947,0.642047,10.083056,G9
11111,0.010154,-0.196212,25.220232,G9
11111,0.010568,0.671083,25.929398,G9
11111,0.009201,0.730756,10.531284,G9
0,0,0,0,G1
0,1,0.734957,1,G1
0,0.084103,0.581342,5.416896,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,1,-0.667931,1,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1101,0.012041,0.861251,4.915854,G0
1101,0.013015,0.461436,19.595537,G0
1101,0.013016,0.41388,19.243837,G0
1101,0.02434,1.781367,7.804761,G0
1101,0.012943,0.36219,19.793972,G0
1101,0.01283,0.457707,20.028419,G0
1101,0.013519,0.568438,19.043934,G0
1101,0.023369,-0.014742,22.023912,G0
1101,0.012594,0.961435,1.973912,G0
1101,0.012185,0.910031,4.449722,G0
1000,1,-0.303567,1,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,1,-0.315823,1,G2
1000,1,-0.111525,1,G2
1000,1,-0.210051,1,G2
1000,0,0,0,G2
1000,1,-0.267906,1,G2
1000,1,-0.291259,1,G2
1,0.021951,0.488662,49.595951,G3
1,0,0,0,G3
1,0.016166,0.822483,53.400436,G3
1,1,0.211315,1,G3
1,1,0.257286,1,G3
1,1,0.294008,1,G3
1,1,0.213918,1,G3
1,1,0.220521,1,G3
1,1,0.164169,1,G3
1,1,0.15234,1,G3
11000,0.012878,-0.174105,50.252277,G4
11000,0.01306,-0.122953,48.429398,G4
11000,0.01925,0.18846,14.786871,G4
11000,0.012842,-0.164602,50.12207,G4
11000,1,-0.94572,1,G4
11000,0.012948,-0.150126,49.292255,G4
11000,1,-0.98293,1,G4
11000,0.022598,-0.008154,77.524254,G4
11000,0.012736,-0.180848,50.425652,G4
11000,0.024596,1.36589,34.100098,G4
1100,0.038341,-0.063246,30.171564,G5
1100,0.012941,0.972259,9.168107,G5
1100,0.013449,0.856262,11.501387,G5
1100,0.019839,-0.077521,26.184465,G5
1100,0.012127,1.139007,18.09214,G5
1100,0.019658,-0.078388,26.263199,G5
1100,0.018716,0.136451,27.691299,G5
1100,0.018838,0.192035,27.695864,G5
1100,0.018583,0.017633,28.322369,G5
1100,0.039843,-0.183645,31.533884,G5
1110,0.013051,0.15807,19.914471,G6
1110,0.012564,0.699618,7.737838,G6
1110,0.01325,0.125004,19.64415,G6
1110,0.009914,0.641382,7.008226,G6
1110,0.013093,0.070663,19.759106,G6
1110,0.013391,-0.009252,19.387762,G6
1110,0.010097,0.667561,5.810316,G6
1110,0.012,1.009683,3.458053,G6
1110,0.012938,0.356224,20.15057,G6
1110,0.013074,0.24501,20.21986,G6
10001,0.010995,0.13836,53.090115,G7
10001,0.018794,-0.164355,28.018694,G7
10001,1,-0.624042,1,G7
10001,0.011389,0.329231,30.324524,G7
10001,0.011811,0.38034,30.072052,G7
10001,0.013733,0.793739,5.104064,G7
10001,0.011211,0.29787,53.317043,G7
10001,0.025956,3.005895,26.40741,G7
10001,0.027612,1.964791,13.585074,G7
10001,0.015468,2.029247,9.604671,G7
11001,0.014554,0.470137,19.364756,G8
11001,0.016555,-0.328652,35.649731,G8
11001,0.013906,0.308704,20.332781,G8
11001,0.040954,4.830279,69.943497,G8
11001,0.0143,0.317377,19.7327,G8
11001,0.0143,0.478468,19.846165,G8
11001,0.013716,0.378964,20.634821,G8
11001,0.013726,0.325927,20.530083,G8
11001,0.014045,0.254995,20.212069,G8
11001,0.01463,0.253362,19.471188,G8
11111,0.009553,0.985754,8.73686,G9
11111,0.010038,0.842018,8.881664,G9
11111,0.010154,1.16038,7.105643,G9
11111,0.01013,1.081631,15.284383,G9
11111,0.010769,0.925269,16.43553,G9
11111,0.010833,0.821203,15.619578,G9
11111,0.009926,0.964381,8.800071,G9
11111,0.009939,0.810025,9.380643,G9
11111,0.010001,0.666753,9.375968,G9
11111,0.009463,0.702865,10.967755,G9
0,1,-0.728452,1,G1
0,1,-0.672955,1,G1
0,1,-0.720727,1,G1
0,1,-0.701598,1,G1
