@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R3,6,12'

@attribute ratio numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
1,1,G1
0,0,G1
1,1,G1
0.016534,32.128532,G0
1,1,G0
0.011292,23.471453,G0
0.010951,23.955109,G0
0.011335,23.617138,G0
0.011234,23.632465,G0
0.011063,23.944956,G0
0.011482,23.390223,G0
0.017025,31.454571,G0
0.016541,31.916876,G0
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G3
0,0,G3
1,1,G3
1,1,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0.00996,68.443039,G4
0.009741,73.717079,G4
1,1,G4
1,1,G4
0.01593,36.890366,G4
0.026462,99.374763,G4
0.020799,54.74033,G4
0.010248,64.424599,G4
0.010268,69.695953,G4
0.010397,73.834328,G4
1,1,G5
0.020365,25.616379,G5
0.020396,25.629665,G5
0.020314,25.679893,G5
0.019104,27.027773,G5
1,1,G5
0.019072,27.902817,G5
1,1,G5
0,0,G5
1,1,G5
0.014228,18.979395,G6
1,1,G6
0.014499,18.622959,G6
0.014726,18.366129,G6
0.015094,17.936562,G6
0.015183,17.76836,G6
0.015188,17.800419,G6
0.014549,38.0121,G6
0.014668,18.599554,G6
0.01502,18.201717,G6
0.010028,69.908165,G7
0.009677,77.238541,G7
0.009634,79.161362,G7
0.009664,83.083595,G7
0.010198,78.348076,G7
0.012656,44.688377,G7
0.009721,78.815231,G7
0.012008,75.410538,G7
0.009612,79.038055,G7
0.010206,70.284538,G7
0.009102,31.84795,G8
0.010508,87.031273,G8
0.009269,31.582924,G8
0.010403,88.510788,G8
0.008864,34.360435,G8
0.010401,81.049911,G8
0.009289,31.013523,G8
0.010335,71.723534,G8
0.008903,32.058792,G8
0.008751,33.020748,G8
0.009334,16.910755,G9
0.007592,13.740136,G9
0.007429,14.779031,G9
0.008589,11.713248,G9
1,1,G9
0.008053,11.588235,G9
1,1,G9
0.008228,11.072308,G9
0.008337,10.192496,G9
0.008789,16.426311,G9
1,1,G1
1,1,G1
0,0,G1
1,1,G1
1,1,G1
1,1,G1
1,1,G1
1,1,G1
0,0,G1
0,0,G1
0.01326,19.429249,G0
0.012111,22.119347,G0
0.011576,22.894224,G0
0.011578,23.186516,G0
0.013132,19.955507,G0
0.01185,22.108004,G0
0.011932,22.267647,G0
0.011733,22.644402,G0
0.012033,21.962376,G0
0.013269,19.529358,G0
1,1,G2
1,1,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
0.019961,18.586517,G2
0.019659,18.952829,G2
0.019598,19.019991,G2
0.019374,20.502623,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0.01554,43.806084,G3
1,1,G3
1,1,G3
1,1,G3
0.012328,53.363533,G4
0.011536,55.445675,G4
0.011128,57.632858,G4
0.016534,18.210123,G4
0.017193,17.409941,G4
0.015802,18.754187,G4
0.015629,19.466267,G4
0.015646,19.616816,G4
0.012082,53.907883,G4
0.01208,54.080479,G4
0.0152,35.383423,G5
0.015219,35.510876,G5
0.014849,36.217762,G5
0.011702,28.439514,G5
0.015345,35.175339,G5
0.015076,36.02306,G5
0.015137,35.848511,G5
0.015417,35.379021,G5
0.015915,33.79295,G5
0.01531,35.247337,G5
0.016703,15.573933,G6
0.018297,14.413544,G6
0.014526,17.945267,G6
0.015055,17.476412,G6
0.01664,15.826111,G6
0.016096,16.318581,G6
0.016718,15.603787,G6
0.016642,15.716647,G6
0.016364,16.018442,G6
0.016364,16.020119,G6
0.009295,80.422737,G7
0.010929,41.267994,G7
0.010705,40.350845,G7
0.010597,74.734032,G7
0.010411,76.033142,G7
0.010765,40.558052,G7
0.01063,26.645836,G7
0.012277,26.544914,G7
0.012637,27.584511,G7
0.012722,26.861992,G7
0.014992,17.067598,G8
0.014084,40.308922,G8
0.010925,25.895041,G8
0.011431,24.940514,G8
0.011112,25.743473,G8
0.011275,25.42441,G8
0.011513,24.691273,G8
0.01142,24.97603,G8
0.012065,17.722002,G8
0.016023,18.097288,G8
0.009365,10.475904,G9
0.009064,10.736491,G9
0.00898,10.215485,G9
0.009104,10.836102,G9
0.0092,10.868353,G9
0.0099,9.782095,G9
0.009947,10.083056,G9
0.010154,25.220232,G9
0.010568,25.929398,G9
0.009201,10.531284,G9
0,0,G1
1,1,G1
0.084103,5.416896,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0.012041,4.915854,G0
0.013015,19.595537,G0
0.013016,19.243837,G0
0.02434,7.804761,G0
0.012943,19.793972,G0
0.01283,20.028419,G0
0.013519,19.043934,G0
0.023369,22.023912,G0
0.012594,1.973912,G0
0.012185,4.449722,G0
1,1,G2
0,0,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G2
0.021951,49.595951,G3
0,0,G3
0.016166,53.400436,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0.012878,50.252277,G4
0.01306,48.429398,G4
0.01925,14.786871,G4
0.012842,50.12207,G4
1,1,G4
0.012948,49.292255,G4
1,1,G4
0.022598,77.524254,G4
0.012736,50.425652,G4
0.024596,34.100098,G4
0.038341,30.171564,G5
0.012941,9.168107,G5
0.013449,11.501387,G5
0.019839,26.184465,G5
0.012127,18.09214,G5
0.019658,26.263199,G5
0.018716,27.691299,G5
0.018838,27.695864,G5
0.018583,28.322369,G5
0.039843,31.533884,G5
0.013051,19.914471,G6
0.012564,7.737838,G6
0.01325,19.64415,G6
0.009914,7.008226,G6
0.013093,19.759106,G6
0.013391,19.387762,G6
0.010097,5.810316,G6
0.012,3.458053,G6
0.012938,20.15057,G6
0.013074,20.21986,G6
0.010995,53.090115,G7
0.018794,28.018694,G7
1,1,G7
0.011389,30.324524,G7
0.011811,30.072052,G7
0.013733,5.104064,G7
0.011211,53.317043,G7
0.025956,26.40741,G7
0.027612,13.585074,G7
0.015468,9.604671,G7
0.014554,19.364756,G8
0.016555,35.649731,G8
0.013906,20.332781,G8
0.040954,69.943497,G8
0.0143,19.7327,G8
0.0143,19.846165,G8
0.013716,20.634821,G8
0.013726,20.530083,G8
0.014045,20.212069,G8
0.01463,19.471188,G8
0.009553,8.73686,G9
0.010038,8.881664,G9
0.010154,7.105643,G9
0.01013,15.284383,G9
0.010769,16.43553,G9
0.010833,15.619578,G9
0.009926,8.800071,G9
0.009939,9.380643,G9
0.010001,9.375968,G9
0.009463,10.967755,G9
1,1,G1
1,1,G1
1,1,G1
1,1,G1
1,1,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
0.009691,28.205624,G0
0.010008,27.12533,G0
0.009704,28.109241,G0
0.0098,27.913639,G0
0.009855,28.283398,G0
0.009939,27.656107,G0
0.010025,27.393061,G0
0.010064,27.468975,G0
0.011507,21.126677,G0
0.009828,27.943962,G0
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G3
0.027471,8.558611,G3
0.027034,8.260798,G3
0.027406,6.617039,G3
1,1,G3
1,1,G3
1,1,G3
0.032967,6.362509,G3
1,1,G3
1,1,G3
0.017313,16.562922,G4
0.012781,50.63102,G4
0.011889,55.133663,G4
0.016734,17.029902,G4
0.01771,16.374195,G4
0.017813,15.88985,G4
0.017429,16.279348,G4
0.017021,16.642817,G4
0.017078,16.67091,G4
0.011987,55.099251,G4
0.019279,27.466497,G5
0.019031,27.646662,G5
0.018852,27.798517,G5
0.018789,27.890408,G5
0.019128,27.676783,G5
0.018975,27.788082,G5
0.018805,27.94903,G5
0.018422,28.034847,G5
0.019224,27.223623,G5
0.018755,27.652082,G5
0.015212,17.168375,G6
0.015099,17.378466,G6
0.015395,17.14905,G6
0.015289,17.237867,G6
0.015566,16.897444,G6
0.015577,16.801483,G6
0.015452,16.922415,G6
0.015818,16.54907,G6
0.01405,18.471989,G6
0.014772,17.622847,G6
0.011602,72.201683,G7
0.010613,72.33197,G7
0.010653,73.953262,G7
0.010793,72.239662,G7
0.010667,72.002129,G7
0.010679,71.816238,G7
0.010435,72.34948,G7
0.010907,72.178688,G7
0.012078,70.320694,G7
0.012448,71.736969,G7
0.009312,29.699686,G8
0.009687,28.802959,G8
0.010678,21.44853,G8
0.010698,21.427652,G8
0.009731,28.632725,G8
0.009711,28.429342,G8
0.009788,28.363503,G8
0.009503,29.338818,G8
0.009626,29.090879,G8
0.010783,21.3776,G8
0.008834,7.51787,G9
0.0082,10.037858,G9
0.007958,10.449368,G9
0.008063,9.683265,G9
0.008047,9.851491,G9
0.008023,10.246622,G9
0.008293,9.076012,G9
0.008237,9.387828,G9
0.008358,9.189385,G9
0.008271,9.54729,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
