@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R5,6,12'

@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0.890207,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.785661,1,G1
0.869856,1,G1
0,0,G1
0.93356,1,G1
1.058861,32.128532,G0
0.832151,1,G0
0.965314,23.471453,G0
0.988549,23.955109,G0
0.895118,23.617138,G0
0.870628,23.632465,G0
0.998301,23.944956,G0
1.068097,23.390223,G0
1.121722,31.454571,G0
1.068544,31.916876,G0
0,0,G2
0.827349,1,G2
0.885353,1,G2
0.929243,1,G2
0.943691,1,G2
0.935648,1,G2
0.873468,1,G2
0.727005,1,G2
0,0,G2
0.729622,1,G2
0.83058,1,G3
0,0,G3
0.841609,1,G3
0.728467,1,G3
0,0,G3
0.828946,1,G3
0.889354,1,G3
0.873453,1,G3
0.746036,1,G3
0.87375,1,G3
1.28561,68.443039,G4
1.128605,73.717079,G4
-0.644317,1,G4
0.246019,1,G4
0.342575,36.890366,G4
3.957813,99.374763,G4
2.411074,54.74033,G4
1.204008,64.424599,G4
1.27062,69.695953,G4
1.357879,73.834328,G4
0.972637,1,G5
0.974128,25.616379,G5
0.867764,25.629665,G5
0.877682,25.679893,G5
0.997972,27.027773,G5
0.960213,1,G5
1.034228,27.902817,G5
0.996419,1,G5
0,0,G5
0.969423,1,G5
0.993641,18.979395,G6
0.938215,1,G6
0.926696,18.622959,G6
0.912681,18.366129,G6
0.922221,17.936562,G6
1.078765,17.76836,G6
1.005026,17.800419,G6
0.745789,38.0121,G6
1.073336,18.599554,G6
1.170329,18.201717,G6
0.81088,69.908165,G7
1.022262,77.238541,G7
1.057828,79.161362,G7
1.037736,83.083595,G7
1.124422,78.348076,G7
1.360674,44.688377,G7
0.776607,78.815231,G7
1.519801,75.410538,G7
0.944019,79.038055,G7
1.060393,70.284538,G7
1.367308,31.84795,G8
1.373388,87.031273,G8
1.426975,31.582924,G8
1.478418,88.510788,G8
1.471149,34.360435,G8
1.272335,81.049911,G8
1.179867,31.013523,G8
1.259652,71.723534,G8
1.236284,32.058792,G8
1.343418,33.020748,G8
1.504573,16.910755,G9
1.340814,13.740136,G9
1.295621,14.779031,G9
1.412484,11.713248,G9
0.600263,1,G9
1.42811,11.588235,G9
0.610598,1,G9
1.178239,11.072308,G9
1.352818,10.192496,G9
1.510261,16.426311,G9
0.635808,1,G1
0.778669,1,G1
0,0,G1
0.81432,1,G1
0.864201,1,G1
0.786069,1,G1
0.671906,1,G1
0.71264,1,G1
0,0,G1
0,0,G1
0.79501,19.429249,G0
1.055807,22.119347,G0
1.026527,22.894224,G0
1.053928,23.186516,G0
1.283488,19.955507,G0
0.965162,22.108004,G0
0.956813,22.267647,G0
0.999659,22.644402,G0
1.013991,21.962376,G0
1.032953,19.529358,G0
0.69643,1,G2
-0.381329,1,G2
0,0,G2
0,0,G2
0.780266,1,G2
0.768555,1,G2
1.024957,18.586517,G2
1.0396,18.952829,G2
1.060463,19.019991,G2
0.939747,20.502623,G2
0.843878,1,G3
0.808117,1,G3
0.901246,1,G3
0.9465,1,G3
0.887323,1,G3
0.942052,1,G3
1.277046,43.806084,G3
0.864457,1,G3
0.831736,1,G3
0.8412,1,G3
1.007392,53.363533,G4
1.03995,55.445675,G4
0.995725,57.632858,G4
1.404686,18.210123,G4
1.494884,17.409941,G4
1.271162,18.754187,G4
1.291995,19.466267,G4
1.089693,19.616816,G4
0.903819,53.907883,G4
0.939392,54.080479,G4
0.887494,35.383423,G5
0.925899,35.510876,G5
0.88639,36.217762,G5
2.267486,28.439514,G5
0.888379,35.175339,G5
0.867388,36.02306,G5
0.891259,35.848511,G5
0.913023,35.379021,G5
0.896674,33.79295,G5
0.843593,35.247337,G5
0.949435,15.573933,G6
1.252604,14.413544,G6
0.811824,17.945267,G6
0.937772,17.476412,G6
1.043624,15.826111,G6
0.979963,16.318581,G6
0.917098,15.603787,G6
0.901396,15.716647,G6
0.866462,16.018442,G6
0.956087,16.020119,G6
0.518405,80.422737,G7
0.908251,41.267994,G7
0.783362,40.350845,G7
0.900812,74.734032,G7
0.870361,76.033142,G7
0.805686,40.558052,G7
1.08874,26.645836,G7
1.285265,26.544914,G7
1.449588,27.584511,G7
1.142757,26.861992,G7
1.977088,17.067598,G8
1.033955,40.308922,G8
1.165574,25.895041,G8
0.956686,24.940514,G8
0.993523,25.743473,G8
1.031452,25.42441,G8
1.177462,24.691273,G8
1.209937,24.97603,G8
1.195472,17.722002,G8
2.391885,18.097288,G8
1.349664,10.475904,G9
1.367724,10.736491,G9
1.302834,10.215485,G9
1.302651,10.836102,G9
1.310955,10.868353,G9
1.300923,9.782095,G9
1.339228,10.083056,G9
1.136419,25.220232,G9
1.357636,25.929398,G9
1.307832,10.531284,G9
0,0,G1
-0.436434,1,G1
-0.577997,5.416896,G1
0,0,G1
0,0,G1
0,0,G1
0.62587,1,G1
0,0,G1
0,0,G1
0,0,G1
1.653102,4.915854,G0
1.011152,19.595537,G0
1.065574,19.243837,G0
3.374366,7.804761,G0
0.929811,19.793972,G0
0.937605,20.028419,G0
0.962773,19.043934,G0
0.848819,22.023912,G0
1.621572,1.973912,G0
1.746894,4.449722,G0
0.691537,1,G2
0,0,G2
0,0,G2
0,0,G2
0.645461,1,G2
0.73004,1,G2
0.817998,1,G2
0,0,G2
0.715518,1,G2
0.765787,1,G2
2.687721,49.595951,G3
0,0,G3
1.57313,53.400436,G3
0.854765,1,G3
0.895916,1,G3
0.85043,1,G3
0.866428,1,G3
0.823966,1,G3
0.803636,1,G3
0.808144,1,G3
1.103987,50.252277,G4
1.115498,48.429398,G4
1.460319,14.786871,G4
1.124563,50.12207,G4
0.261743,1,G4
1.15236,49.292255,G4
0.149529,1,G4
2.584348,77.524254,G4
1.120862,50.425652,G4
3.074546,34.100098,G4
1.608927,30.171564,G5
1.275522,9.168107,G5
1.844815,11.501387,G5
0.717603,26.184465,G5
1.570754,18.09214,G5
0.701412,26.263199,G5
0.731091,27.691299,G5
0.831773,27.695864,G5
0.82368,28.322369,G5
1.71031,31.533884,G5
0.829726,19.914471,G6
1.753694,7.737838,G6
0.876376,19.64415,G6
1.39442,7.008226,G6
0.7709,19.759106,G6
0.785042,19.387762,G6
1.313331,5.810316,G6
0.913673,3.458053,G6
0.865698,20.15057,G6
0.913107,20.21986,G6
0.783446,53.090115,G7
0.71422,28.018694,G7
0.682302,1,G7
0.982685,30.324524,G7
0.829572,30.072052,G7
1.705116,5.104064,G7
1.017446,53.317043,G7
-4.037921,26.40741,G7
3.744629,13.585074,G7
2.149701,9.604671,G7
1.070538,19.364756,G8
1.079445,35.649731,G8
1.041452,20.332781,G8
-5.929143,69.943497,G8
1.018776,19.7327,G8
1.080394,19.846165,G8
1.171522,20.634821,G8
1.207806,20.530083,G8
1.092935,20.212069,G8
1.049074,19.471188,G8
1.059274,8.73686,G9
0.910056,8.881664,G9
1.12397,7.105643,G9
1.244326,15.284383,G9
0.988158,16.43553,G9
0.742008,15.619578,G9
0.971874,8.800071,G9
0.942821,9.380643,G9
0.964272,9.375968,G9
1.080709,10.967755,G9
0.513998,1,G1
0.584972,1,G1
0.537501,1,G1
0.532832,1,G1
0.469594,1,G1
0.47517,1,G1
0,0,G1
0,0,G1
0,0,G1
0.527928,1,G1
1.074775,28.205624,G0
1.182609,27.12533,G0
1.164044,28.109241,G0
1.075516,27.913639,G0
1.051815,28.283398,G0
1.089669,27.656107,G0
1.02905,27.393061,G0
0.944636,27.468975,G0
1.118087,21.126677,G0
1.070149,27.943962,G0
0.413412,1,G2
0.81329,1,G2
0.787667,1,G2
0.800882,1,G2
0.713245,1,G2
0.855622,1,G2
0.608424,1,G2
0.461732,1,G2
0.601262,1,G2
0.602885,1,G2
0.555626,1,G3
0.653779,8.558611,G3
0.592454,8.260798,G3
0.828634,6.617039,G3
0.639066,1,G3
0.655908,1,G3
0.707425,1,G3
0.872807,6.362509,G3
0.467815,1,G3
0.433847,1,G3
1.100329,16.562922,G4
0.466721,50.63102,G4
0.861769,55.133663,G4
1.135414,17.029902,G4
1.254171,16.374195,G4
1.342452,15.88985,G4
1.219558,16.279348,G4
1.180501,16.642817,G4
1.10555,16.67091,G4
0.979685,55.099251,G4
0.558474,27.466497,G5
0.773781,27.646662,G5
0.804876,27.798517,G5
0.767767,27.890408,G5
0.794308,27.676783,G5
0.705901,27.788082,G5
0.703821,27.94903,G5
0.783468,28.034847,G5
0.700131,27.223623,G5
0.636403,27.652082,G5
0.972516,17.168375,G6
1.014125,17.378466,G6
1.031472,17.14905,G6
1.009359,17.237867,G6
0.88497,16.897444,G6
0.826688,16.801483,G6
0.853461,16.922415,G6
0.861331,16.54907,G6
1.035168,18.471989,G6
1.004307,17.622847,G6
1.206629,72.201683,G7
1.044722,72.33197,G7
1.029672,73.953262,G7
0.965388,72.239662,G7
0.962683,72.002129,G7
1.056092,71.816238,G7
1.032187,72.34948,G7
0.979077,72.178688,G7
0.773504,70.320694,G7
0.795194,71.736969,G7
1.059212,29.699686,G8
1.076568,28.802959,G8
0.919678,21.44853,G8
1.107732,21.427652,G8
0.837593,28.632725,G8
0.942505,28.429342,G8
1.022956,28.363503,G8
0.890381,29.338818,G8
0.721406,29.090879,G8
0.659854,21.3776,G8
1.085027,7.51787,G9
1.343303,10.037858,G9
1.26462,10.449368,G9
1.095991,9.683265,G9
1.082165,9.851491,G9
0.949379,10.246622,G9
0.787352,9.076012,G9
1.035568,9.387828,G9
1.116737,9.189385,G9
1.061109,9.54729,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1.002696,20.882399,G0
1.083003,20.860098,G0
0.902968,20.991903,G0
0.954368,21.261385,G0
0.95313,21.232153,G0
0.637863,19.8237,G0
0.725178,20.460182,G0
0.656027,21.052015,G0
0.975539,21.471386,G0
0.942541,20.57741,G0
0.705502,1,G2
0,0,G2
0.535409,1,G2
0.593751,1,G2
0.731584,1,G2
0.700807,1,G2
0.490158,1,G2
0.443086,1,G2
0.698579,1,G2
0.734569,1,G2
0,0,G3
0.84771,37.467548,G3
0,0,G3
0,0,G3
0.625731,1,G3
0,0,G3
0.788017,1,G3
0.777787,1,G3
0.871298,1,G3
0,0,G3
0.404073,1,G4
1.207832,43.335747,G4
0.849024,32.805344,G4
0.793335,44.423435,G4
0.450618,39.716812,G4
0.679362,47.848164,G4
0.869945,55.99432,G4
0.954483,47.99987,G4
0.678877,45.919861,G4
0.420077,1,G4
0.572572,21.402111,G5
0.785725,23.92918,G5
1.157577,16.443775,G5
0,0,G5
0.734557,22.162588,G5
0.676725,22.216434,G5
0.711991,21.863609,G5
1.109469,15.804931,G5
0,0,G5
0,0,G5
0.636413,17.562973,G6
0.889369,13.202558,G6
0.570999,1,G6
0.950306,13.649017,G6
0.825631,13.525636,G6
0.909745,22.681602,G6
0.966036,13.019904,G6
0.791876,1,G6
0.54199,1,G6
0.889428,13.217293,G6
0.473931,37.84771,G7
1.121157,72.603188,G7
0,0,G7
0.136272,1,G7
0.33766,70.606186,G7
0.367019,70.109825,G7
0,0,G7
0.706372,70.54409,G7
0.576606,70.084503,G7
0.52991,70.591492,G7
0.971917,26.484047,G8
1.302132,23.794563,G8
0.975185,38.128246,G8
0.721539,31.819365,G8
0.877267,23.968681,G8
0.768287,25.091311,G8
0.791049,24.495312,G8
0.705051,37.014832,G8
0.935331,26.107718,G8
1.031711,24.757931,G8
0.908757,10.972218,G9
1.385827,6.586637,G9
0.861541,10.187063,G9
1.090867,10.263643,G9
0.798409,10.127734,G9
0.941229,15.87604,G9
1.119402,10.776596,G9
1.052011,11.155943,G9
0.948001,11.073741,G9
0.877846,11.279895,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
-0.371725,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1.025194,21.950901,G0
1.148941,21.175959,G0
1.146282,21.540407,G0
1.153117,21.725775,G0
1.17592,19.810598,G0
1.15498,22.240541,G0
1.150069,20.829376,G0
1.096475,21.165833,G0
1.04504,21.224251,G0
1.052926,22.230488,G0
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0.606668,1,G3
0.674613,1,G3
0.695482,1,G3
0.661723,1,G3
0,0,G3
0,0,G3
0,0,G3
0.709123,1,G3
0.704317,1,G3
0.690093,1,G3
1.031965,60.291145,G4
1.126038,65.190086,G4
1.089101,57.752979,G4
0.076166,1,G4
1.300608,19.895859,G4
0.04864,1,G4
1.123193,64.328163,G4
1.058137,64.884415,G4
1.041764,67.481865,G4
1.156947,65.172585,G4
0.766375,26.83696,G5
0.769145,1,G5
0.712485,1,G5
0,0,G5
0.898188,31.140699,G5
0.951567,32.815556,G5
0.747147,28.256777,G5
0.746853,25.189964,G5
0,0,G5
0.807061,27.55373,G5
0.974883,18.980923,G6
0.941199,19.703587,G6
0.919969,18.328455,G6
0.912956,17.970846,G6
0.886854,18.655182,G6
0.844682,16.783241,G6
0.845279,12.948482,G6
0.74577,20.249958,G6
0.954471,20.156908,G6
1.030164,18.80793,G6
0.900033,67.945549,G7
1.191589,36.497276,G7
2.90838,124.514069,G7
1.082551,37.33736,G7
1.098608,70.948708,G7
1.010494,36.409126,G7
0.976073,66.473228,G7
1.038161,66.771965,G7
0.942478,65.038383,G7
0.882407,66.394348,G7
1.255788,20.396193,G8
1.308586,25.542887,G8
0.996916,27.315542,G8
1.182118,24.433315,G8
1.202946,26.35997,G8
1.189858,24.703197,G8
1.188416,26.63711,G8
1.178473,25.718967,G8
1.195559,25.982103,G8
0.970092,25.234972,G8
1.287582,15.185007,G9
1.328144,15.276175,G9
1.31177,15.187655,G9
1.216364,19.015265,G9
1.365156,15.613431,G9
1.366577,15.682833,G9
1.346891,15.486366,G9
1.306442,18.255842,G9
1.33326,9.37676,G9
1.23662,18.710051,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1.090625,23.849249,G0
1.115472,24.9988,G0
1.112508,24.508358,G0
0.98304,54.984791,G0
1.013495,25.160847,G0
0.979701,25.775015,G0
1.070896,24.676746,G0
1.072848,23.645828,G0
0.796177,1,G0
1.139601,23.794411,G0
0.904879,1,G2
0.830004,1,G2
0.933874,1,G2
0.834286,1,G2
0,0,G2
0.941433,1,G2
0.958562,1,G2
0,0,G2
1.373732,33.111378,G2
0.851933,1,G2
0.688457,1,G3
0.968013,1,G3
0.931877,1,G3
0.877188,1,G3
0.89396,1,G3
0.867564,1,G3
0.848933,1,G3
0.843853,1,G3
0.771164,1,G3
0.754998,1,G3
0.259996,1,G4
1.471787,20.527178,G4
1.474227,20.604887,G4
1.251474,61.082603,G4
1.230959,57.431267,G4
1.153618,54.200619,G4
1.184002,54.161648,G4
1.113585,56.480007,G4
1.165923,57.925606,G4
1.181201,56.000134,G4
0.831786,26.642244,G5
0.943422,37.154068,G5
0.910117,34.104729,G5
0.920849,1,G5
0.927262,26.021835,G5
0.943595,24.800642,G5
0.887789,1,G5
0.879447,26.962458,G5
0.876255,26.692886,G5
0.855967,26.765795,G5
0.942145,20.256214,G6
0.95909,17.047852,G6
0.924589,16.729675,G6
1.004657,17.787954,G6
1.007633,17.265451,G6
1.007552,16.213783,G6
0.99553,20.062643,G6
0.996446,22.757629,G6
1.047211,21.377962,G6
1.049552,20.55521,G6
1.119819,65.847382,G7
0.519808,1,G7
0.50776,1,G7
1.142831,68.86422,G7
1.131886,71.958382,G7
1.018693,67.966751,G7
1.210535,65.299904,G7
1.114058,65.007561,G7
1.129908,65.652946,G7
1.119336,65.71978,G7
1.378346,19.692427,G8
1.278494,26.485064,G8
1.114626,26.629318,G8
1.448913,20.762381,G8
1.252518,25.938713,G8
1.08734,26.409336,G8
1.031569,27.467936,G8
1.123564,26.583305,G8
1.225177,18.89397,G8
1.226979,25.939802,G8
1.077653,9.527532,G9
1.01224,9.668103,G9
0.98381,9.613049,G9
0.955558,9.570864,G9
1.18467,9.555344,G9
1.163117,9.51868,G9
1.348693,9.576638,G9
0.946905,9.988613,G9
0.801616,9.809388,G9
0.942135,9.195293,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.910312,26.168962,G0
1.084308,26.312696,G0
1.193354,27.028696,G0
0.906126,36.385403,G0
1.018818,26.946838,G0
0.830391,26.449289,G0
0.959786,26.165817,G0
1.082352,26.78388,G0
1.114782,26.587257,G0
1.065401,26.258286,G0
0.940489,1,G2
0.902595,1,G2
0.856856,1,G2
0.799869,1,G2
0.904606,1,G2
0.992813,1,G2
0,0,G2
0,0,G2
0.805535,1,G2
0.808621,1,G2
0.428554,1,G3
0.776599,1,G3
0.594295,1,G3
0.586515,1,G3
0.478185,1,G3
0.360722,1,G3
0.407221,1,G3
0.629562,1,G3
0.652679,1,G3
0.53114,1,G3
0.859095,58.086987,G4
1.282806,57.091476,G4
1.160692,56.859406,G4
1.05981,57.191746,G4
0.677994,55.289829,G4
1.268584,57.419991,G4
1.308857,55.999855,G4
1.104593,57.919682,G4
1.065004,55.645729,G4
0.934078,58.284771,G4
0.900112,31.363859,G5
0.901322,31.544939,G5
0.709856,30.578329,G5
0.829421,1,G5
0.932993,30.718582,G5
0.945703,31.152681,G5
0.802615,30.603867,G5
0,0,G5
0.721637,1,G5
0.638595,1,G5
0.928371,21.632675,G6
1.103648,21.888054,G6
0.961613,21.601242,G6
0.988794,21.487022,G6
1.02717,21.360723,G6
0.936006,21.818707,G6
0.686904,46.536037,G6
0.855413,22.232635,G6
0.941777,22.062029,G6
0.963241,21.714144,G6
0.687236,72.915581,G7
1.055557,71.795464,G7
0.392595,1,G7
0.898498,74.483971,G7
1.059316,72.88903,G7
0.705152,71.345612,G7
0.637664,72.90947,G7
0.786996,73.319832,G7
0.666335,71.310219,G7
0.926507,72.125488,G7
0.746876,31.338329,G8
0.66335,29.624895,G8
1.009961,20.945076,G8
0.750555,27.066563,G8
0.965698,20.89237,G8
0.650669,30.838646,G8
0.595711,33.216892,G8
0.822748,19.724712,G8
0.851607,26.856787,G8
0.770491,28.943487,G8
1.438505,9.225645,G9
1.202741,8.554334,G9
1.255053,7.527702,G9
1.330061,9.265546,G9
1.101408,13.013872,G9
1.4344,7.865595,G9
1.534743,7.158701,G9
1.508981,8.319952,G9
1.493291,9.097486,G9
1.584597,7.326109,G9
0.388478,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.572105,1,G1
0.933986,23.832621,G0
1.022727,24.683174,G0
1.008663,24.046339,G0
0.978851,24.023407,G0
1.002556,24.130436,G0
1.001954,24.313951,G0
0.945057,24.521149,G0
0.828897,24.014828,G0
0.959079,23.529587,G0
0.920995,23.898355,G0
0.752226,1,G2
0,0,G2
0,0,G2
0.960286,1,G2
0.818337,1,G2
0.841928,1,G2
0.839827,1,G2
0.80107,1,G2
0.819822,1,G2
0.822595,1,G2
