@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R5,12'

@attribute Max_Y numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0.890207,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0.785661,G1
0.869856,G1
0,G1
0.93356,G1
1.058861,G0
0.832151,G0
0.965314,G0
0.988549,G0
0.895118,G0
0.870628,G0
0.998301,G0
1.068097,G0
1.121722,G0
1.068544,G0
0,G2
0.827349,G2
0.885353,G2
0.929243,G2
0.943691,G2
0.935648,G2
0.873468,G2
0.727005,G2
0,G2
0.729622,G2
0.83058,G3
0,G3
0.841609,G3
0.728467,G3
0,G3
0.828946,G3
0.889354,G3
0.873453,G3
0.746036,G3
0.87375,G3
1.28561,G4
1.128605,G4
-0.644317,G4
0.246019,G4
0.342575,G4
3.957813,G4
2.411074,G4
1.204008,G4
1.27062,G4
1.357879,G4
0.972637,G5
0.974128,G5
0.867764,G5
0.877682,G5
0.997972,G5
0.960213,G5
1.034228,G5
0.996419,G5
0,G5
0.969423,G5
0.993641,G6
0.938215,G6
0.926696,G6
0.912681,G6
0.922221,G6
1.078765,G6
1.005026,G6
0.745789,G6
1.073336,G6
1.170329,G6
0.81088,G7
1.022262,G7
1.057828,G7
1.037736,G7
1.124422,G7
1.360674,G7
0.776607,G7
1.519801,G7
0.944019,G7
1.060393,G7
1.367308,G8
1.373388,G8
1.426975,G8
1.478418,G8
1.471149,G8
1.272335,G8
1.179867,G8
1.259652,G8
1.236284,G8
1.343418,G8
1.504573,G9
1.340814,G9
1.295621,G9
1.412484,G9
0.600263,G9
1.42811,G9
0.610598,G9
1.178239,G9
1.352818,G9
1.510261,G9
0.635808,G1
0.778669,G1
0,G1
0.81432,G1
0.864201,G1
0.786069,G1
0.671906,G1
0.71264,G1
0,G1
0,G1
0.79501,G0
1.055807,G0
1.026527,G0
1.053928,G0
1.283488,G0
0.965162,G0
0.956813,G0
0.999659,G0
1.013991,G0
1.032953,G0
0.69643,G2
-0.381329,G2
0,G2
0,G2
0.780266,G2
0.768555,G2
1.024957,G2
1.0396,G2
1.060463,G2
0.939747,G2
0.843878,G3
0.808117,G3
0.901246,G3
0.9465,G3
0.887323,G3
0.942052,G3
1.277046,G3
0.864457,G3
0.831736,G3
0.8412,G3
1.007392,G4
1.03995,G4
0.995725,G4
1.404686,G4
1.494884,G4
1.271162,G4
1.291995,G4
1.089693,G4
0.903819,G4
0.939392,G4
0.887494,G5
0.925899,G5
0.88639,G5
2.267486,G5
0.888379,G5
0.867388,G5
0.891259,G5
0.913023,G5
0.896674,G5
0.843593,G5
0.949435,G6
1.252604,G6
0.811824,G6
0.937772,G6
1.043624,G6
0.979963,G6
0.917098,G6
0.901396,G6
0.866462,G6
0.956087,G6
0.518405,G7
0.908251,G7
0.783362,G7
0.900812,G7
0.870361,G7
0.805686,G7
1.08874,G7
1.285265,G7
1.449588,G7
1.142757,G7
1.977088,G8
1.033955,G8
1.165574,G8
0.956686,G8
0.993523,G8
1.031452,G8
1.177462,G8
1.209937,G8
1.195472,G8
2.391885,G8
1.349664,G9
1.367724,G9
1.302834,G9
1.302651,G9
1.310955,G9
1.300923,G9
1.339228,G9
1.136419,G9
1.357636,G9
1.307832,G9
0,G1
-0.436434,G1
-0.577997,G1
0,G1
0,G1
0,G1
0.62587,G1
0,G1
0,G1
0,G1
1.653102,G0
1.011152,G0
1.065574,G0
3.374366,G0
0.929811,G0
0.937605,G0
0.962773,G0
0.848819,G0
1.621572,G0
1.746894,G0
0.691537,G2
0,G2
0,G2
0,G2
0.645461,G2
0.73004,G2
0.817998,G2
0,G2
0.715518,G2
0.765787,G2
2.687721,G3
0,G3
1.57313,G3
0.854765,G3
0.895916,G3
0.85043,G3
0.866428,G3
0.823966,G3
0.803636,G3
0.808144,G3
1.103987,G4
1.115498,G4
1.460319,G4
1.124563,G4
0.261743,G4
1.15236,G4
0.149529,G4
2.584348,G4
1.120862,G4
3.074546,G4
1.608927,G5
1.275522,G5
1.844815,G5
0.717603,G5
1.570754,G5
0.701412,G5
0.731091,G5
0.831773,G5
0.82368,G5
1.71031,G5
0.829726,G6
1.753694,G6
0.876376,G6
1.39442,G6
0.7709,G6
0.785042,G6
1.313331,G6
0.913673,G6
0.865698,G6
0.913107,G6
0.783446,G7
0.71422,G7
0.682302,G7
0.982685,G7
0.829572,G7
1.705116,G7
1.017446,G7
-4.037921,G7
3.744629,G7
2.149701,G7
1.070538,G8
1.079445,G8
1.041452,G8
-5.929143,G8
1.018776,G8
1.080394,G8
1.171522,G8
1.207806,G8
1.092935,G8
1.049074,G8
1.059274,G9
0.910056,G9
1.12397,G9
1.244326,G9
0.988158,G9
0.742008,G9
0.971874,G9
0.942821,G9
0.964272,G9
1.080709,G9
0.513998,G1
0.584972,G1
0.537501,G1
0.532832,G1
0.469594,G1
0.47517,G1
0,G1
0,G1
0,G1
0.527928,G1
1.074775,G0
1.182609,G0
1.164044,G0
1.075516,G0
1.051815,G0
1.089669,G0
1.02905,G0
0.944636,G0
1.118087,G0
1.070149,G0
0.413412,G2
0.81329,G2
0.787667,G2
0.800882,G2
0.713245,G2
0.855622,G2
0.608424,G2
0.461732,G2
0.601262,G2
0.602885,G2
0.555626,G3
0.653779,G3
0.592454,G3
0.828634,G3
0.639066,G3
0.655908,G3
0.707425,G3
0.872807,G3
0.467815,G3
0.433847,G3
1.100329,G4
0.466721,G4
0.861769,G4
1.135414,G4
1.254171,G4
1.342452,G4
1.219558,G4
1.180501,G4
1.10555,G4
0.979685,G4
0.558474,G5
0.773781,G5
0.804876,G5
0.767767,G5
0.794308,G5
0.705901,G5
0.703821,G5
0.783468,G5
0.700131,G5
0.636403,G5
0.972516,G6
1.014125,G6
1.031472,G6
1.009359,G6
0.88497,G6
0.826688,G6
0.853461,G6
0.861331,G6
1.035168,G6
1.004307,G6
1.206629,G7
1.044722,G7
1.029672,G7
0.965388,G7
0.962683,G7
1.056092,G7
1.032187,G7
0.979077,G7
0.773504,G7
0.795194,G7
1.059212,G8
1.076568,G8
0.919678,G8
1.107732,G8
0.837593,G8
0.942505,G8
1.022956,G8
0.890381,G8
0.721406,G8
0.659854,G8
1.085027,G9
1.343303,G9
1.26462,G9
1.095991,G9
1.082165,G9
0.949379,G9
0.787352,G9
1.035568,G9
1.116737,G9
1.061109,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1.002696,G0
1.083003,G0
0.902968,G0
0.954368,G0
0.95313,G0
0.637863,G0
0.725178,G0
0.656027,G0
0.975539,G0
0.942541,G0
0.705502,G2
0,G2
0.535409,G2
0.593751,G2
0.731584,G2
0.700807,G2
0.490158,G2
0.443086,G2
0.698579,G2
0.734569,G2
0,G3
0.84771,G3
0,G3
0,G3
0.625731,G3
0,G3
0.788017,G3
0.777787,G3
0.871298,G3
0,G3
0.404073,G4
1.207832,G4
0.849024,G4
0.793335,G4
0.450618,G4
0.679362,G4
0.869945,G4
0.954483,G4
0.678877,G4
0.420077,G4
0.572572,G5
0.785725,G5
1.157577,G5
0,G5
0.734557,G5
0.676725,G5
0.711991,G5
1.109469,G5
0,G5
0,G5
0.636413,G6
0.889369,G6
0.570999,G6
0.950306,G6
0.825631,G6
0.909745,G6
0.966036,G6
0.791876,G6
0.54199,G6
0.889428,G6
0.473931,G7
1.121157,G7
0,G7
0.136272,G7
0.33766,G7
0.367019,G7
0,G7
0.706372,G7
0.576606,G7
0.52991,G7
0.971917,G8
1.302132,G8
0.975185,G8
0.721539,G8
0.877267,G8
0.768287,G8
0.791049,G8
0.705051,G8
0.935331,G8
1.031711,G8
0.908757,G9
1.385827,G9
0.861541,G9
1.090867,G9
0.798409,G9
0.941229,G9
1.119402,G9
1.052011,G9
0.948001,G9
0.877846,G9
0,G1
0,G1
0,G1
0,G1
0,G1
-0.371725,G1
0,G1
0,G1
0,G1
0,G1
1.025194,G0
1.148941,G0
1.146282,G0
1.153117,G0
1.17592,G0
1.15498,G0
1.150069,G0
1.096475,G0
1.04504,G0
1.052926,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0.606668,G3
0.674613,G3
0.695482,G3
0.661723,G3
0,G3
0,G3
0,G3
0.709123,G3
0.704317,G3
0.690093,G3
1.031965,G4
1.126038,G4
1.089101,G4
0.076166,G4
1.300608,G4
0.04864,G4
1.123193,G4
1.058137,G4
1.041764,G4
1.156947,G4
0.766375,G5
0.769145,G5
0.712485,G5
0,G5
0.898188,G5
0.951567,G5
0.747147,G5
0.746853,G5
0,G5
0.807061,G5
0.974883,G6
0.941199,G6
0.919969,G6
0.912956,G6
0.886854,G6
0.844682,G6
0.845279,G6
0.74577,G6
0.954471,G6
1.030164,G6
0.900033,G7
1.191589,G7
2.90838,G7
1.082551,G7
1.098608,G7
1.010494,G7
0.976073,G7
1.038161,G7
0.942478,G7
0.882407,G7
1.255788,G8
1.308586,G8
0.996916,G8
1.182118,G8
1.202946,G8
1.189858,G8
1.188416,G8
1.178473,G8
1.195559,G8
0.970092,G8
1.287582,G9
1.328144,G9
1.31177,G9
1.216364,G9
1.365156,G9
1.366577,G9
1.346891,G9
1.306442,G9
1.33326,G9
1.23662,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1.090625,G0
1.115472,G0
1.112508,G0
0.98304,G0
1.013495,G0
0.979701,G0
1.070896,G0
1.072848,G0
0.796177,G0
1.139601,G0
0.904879,G2
0.830004,G2
0.933874,G2
0.834286,G2
0,G2
0.941433,G2
0.958562,G2
0,G2
1.373732,G2
0.851933,G2
0.688457,G3
0.968013,G3
0.931877,G3
0.877188,G3
0.89396,G3
0.867564,G3
0.848933,G3
0.843853,G3
0.771164,G3
0.754998,G3
0.259996,G4
1.471787,G4
1.474227,G4
1.251474,G4
1.230959,G4
1.153618,G4
1.184002,G4
1.113585,G4
1.165923,G4
1.181201,G4
0.831786,G5
0.943422,G5
0.910117,G5
0.920849,G5
0.927262,G5
0.943595,G5
0.887789,G5
0.879447,G5
0.876255,G5
0.855967,G5
0.942145,G6
0.95909,G6
0.924589,G6
1.004657,G6
1.007633,G6
1.007552,G6
0.99553,G6
0.996446,G6
1.047211,G6
1.049552,G6
1.119819,G7
0.519808,G7
0.50776,G7
1.142831,G7
1.131886,G7
1.018693,G7
1.210535,G7
1.114058,G7
1.129908,G7
1.119336,G7
1.378346,G8
1.278494,G8
1.114626,G8
1.448913,G8
1.252518,G8
1.08734,G8
1.031569,G8
1.123564,G8
1.225177,G8
1.226979,G8
1.077653,G9
1.01224,G9
0.98381,G9
0.955558,G9
1.18467,G9
1.163117,G9
1.348693,G9
0.946905,G9
0.801616,G9
0.942135,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0.910312,G0
1.084308,G0
1.193354,G0
0.906126,G0
1.018818,G0
0.830391,G0
0.959786,G0
1.082352,G0
1.114782,G0
1.065401,G0
0.940489,G2
0.902595,G2
0.856856,G2
0.799869,G2
0.904606,G2
0.992813,G2
0,G2
0,G2
0.805535,G2
0.808621,G2
0.428554,G3
0.776599,G3
0.594295,G3
0.586515,G3
0.478185,G3
0.360722,G3
0.407221,G3
0.629562,G3
0.652679,G3
0.53114,G3
0.859095,G4
1.282806,G4
1.160692,G4
1.05981,G4
0.677994,G4
1.268584,G4
1.308857,G4
1.104593,G4
1.065004,G4
0.934078,G4
0.900112,G5
0.901322,G5
0.709856,G5
0.829421,G5
0.932993,G5
