@relation 'gesture-weka.filters.unsupervised.attribute.Remove-R31_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,7-11,12-26,27-30,357'

@attribute ratio numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingerDirection_f1_x numeric
@attribute fingerDirection_f1_y numeric
@attribute fingerDirection_f1_z numeric
@attribute fingerDirection_f2_x numeric
@attribute fingerDirection_f2_y numeric
@attribute fingerDirection_f2_z numeric
@attribute fingerDirection_f3_x numeric
@attribute fingerDirection_f3_y numeric
@attribute fingerDirection_f3_z numeric
@attribute fingerDirection_f4_x numeric
@attribute fingerDirection_f4_y numeric
@attribute fingerDirection_f4_z numeric
@attribute fingerDirection_f5_x numeric
@attribute fingerDirection_f5_y numeric
@attribute fingerDirection_f5_z numeric
@attribute fingerAngle_1 numeric
@attribute fingerAngle_2 numeric
@attribute fingerAngle_3 numeric
@attribute fingerAngle_4 numeric
@attribute class {G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24}

@data

0,67.364212,38.960144,40.593857,38.629967,33.931984,-0.381435,0.787987,-0.483306,0.348884,-0.926439,0.14139,0.100281,-0.961725,0.255009,-0.064601,-0.956692,0.283845,-0.368936,-0.880068,0.298941,0,0,0,0,G01
0,71.005638,37.808544,37.398193,35.850502,32.637104,-0.31119,0.813971,-0.490522,0.09649,-0.993731,0.056466,-0.030549,-0.992616,0.11739,-0.168168,-0.971156,0.169043,-0.431485,-0.878318,0.205859,0,0,0,0,G01
0,70.47216,39.60928,41.467785,39.081612,34.276512,-0.333534,0.777181,-0.533616,0.367147,-0.922965,0.115492,0.086036,-0.97113,0.222494,-0.091937,-0.968901,0.229736,-0.415075,-0.878192,0.23768,0,0,0,0,G01
0,69.656754,40.752438,42.788162,40.152176,34.294487,-0.245366,0.611439,-0.752288,0.27895,-0.892026,0.355635,0.000978,-0.912051,0.410075,-0.187885,-0.900247,0.392754,-0.513165,-0.771751,0.375582,0,0,0,0,G01
0,70.002785,40.269318,42.533195,39.946999,34.326206,-0.263637,0.667552,-0.696326,0.32246,-0.896645,0.303393,0.01626,-0.925519,0.378353,-0.169896,-0.916428,0.362347,-0.491421,-0.796667,0.351892,0,0,0,0,G01
0,69.573334,40.148796,42.33577,39.833485,34.193874,-0.263515,0.657883,-0.705513,0.310517,-0.893913,0.323263,0.015325,-0.914246,0.404869,-0.167181,-0.905568,0.389868,-0.48075,-0.786761,0.387152,0,0,0,0,G01
0,69.390045,40.161613,42.390289,39.878075,34.211044,-0.258972,0.657618,-0.707441,0.309378,-0.893796,0.324674,0.0138,-0.914118,0.405214,-0.168068,-0.905095,0.390584,-0.481645,-0.785988,0.38761,0,0,0,0,G01
0,69.285751,39.535664,41.619354,39.390022,33.852592,-0.274494,0.675643,-0.684222,0.307619,-0.898617,0.312824,0.038478,-0.914482,0.402792,-0.135431,-0.90264,0.408533,-0.437709,-0.797363,0.41548,0,0,0,0,G01
0,69.360413,39.688847,41.7938,39.46777,33.884796,-0.268546,0.675633,-0.686588,0.302327,-0.902157,0.307753,0.033533,-0.919196,0.39237,-0.13828,-0.904201,0.404103,-0.438226,-0.796281,0.417007,0,0,0,0,G01
0,70.517036,40.476929,41.782967,39.594402,34.120632,-0.258983,0.673113,-0.692709,0.259506,-0.918382,0.298714,0.031288,-0.926621,0.374693,-0.14809,-0.913979,0.377772,-0.452171,-0.801254,0.391834,0,0,0,0,G01
0.012946,0.604212,1.214093,1.306241,1.26204,1.075156,-0.097795,0.901215,-0.422194,-0.156531,0.945281,-0.286255,0.075356,0.974055,-0.213396,0.048684,0.966289,-0.252815,0.065657,0.961112,-0.268242,0.620637,0.399864,0.169555,0.258164,G02
0.01355,0.467058,1.048924,1.125573,1.08451,0.919951,0.000285,0.747704,-0.664032,-0.182445,0.954494,-0.235912,0.071921,0.980004,-0.185527,0.023799,0.986791,-0.160241,0.034381,0.984378,-0.172679,0.411877,0.16673,0.254952,0,G02
0.014011,0.529901,1.043898,1.1275,1.081202,0.914909,0.025241,0.712499,-0.701219,-0.154873,0.960302,-0.232023,0.048615,0.975234,-0.215766,0.018362,0.98218,-0.187044,0.034194,0.978978,-0.20108,0.367335,0.180987,0.260858,0,G02
0.013609,0.528199,1.043106,1.126191,1.08163,0.924998,0.046191,0.65611,-0.75325,-0.150077,0.944945,-0.290785,0.046061,0.969638,-0.240168,0.016561,0.974796,-0.222482,0.066991,0.969986,-0.233751,0.368111,0.178282,0.283991,0,G02
0.013981,0.529659,1.034978,1.123644,1.085355,0.925397,-0.020367,0.734789,-0.677989,-0.135168,0.955307,-0.262904,0.045617,0.974303,-0.220572,0.047458,0.975056,-0.216827,0.058602,0.969254,-0.238983,0.356305,0.198431,0.25197,0,G02
0.012739,0.595565,1.216072,1.308976,1.263925,1.08673,-0.091045,0.878427,-0.469123,-0.157674,0.942074,-0.296034,0.061363,0.972408,-0.225072,0.054453,0.96346,-0.26226,0.105115,0.955816,-0.274528,0.592555,0.389458,0.185494,0.280884,G02
0.014344,0.462744,1.03697,1.123296,1.083828,0.915962,-0.017157,0.739902,-0.672496,-0.132984,0.955253,-0.264212,0.06338,0.974548,-0.215035,0.041012,0.974044,-0.222613,0.03046,0.968674,-0.24646,0.369094,0.177775,0.239071,0,G02
0.014386,0.488143,1.03698,1.125174,1.080783,0.915069,-0.028255,0.774302,-0.632185,-0.120759,0.953429,-0.276386,0.046153,0.969986,-0.238738,0.030709,0.965562,-0.258354,0.041953,0.963336,-0.264998,0.343934,0.181606,0.257603,0,G02
0.014364,0.486729,1.03637,1.125681,1.080881,0.91626,-0.03521,0.778068,-0.627193,-0.119093,0.952319,-0.2809,0.039205,0.968285,-0.246754,0.029584,0.9681,-0.248812,0.044913,0.964573,-0.259965,0.336813,0.188865,0.259995,0,G02
0.013237,0.57462,1.218909,1.308711,1.263821,1.07415,-0.080393,0.88402,-0.460483,-0.157324,0.944779,-0.287476,0.089035,0.973424,-0.210995,0.048464,0.96621,-0.25316,0.061892,0.961936,-0.266172,0.576675,0.411186,0.158271,0.256682,G02
1,1,0.917359,0.938256,1.045783,0.854628,-0.809678,0.467144,-0.355243,-0.675908,-0.316107,-0.665751,-0.751056,-0.318698,-0.578226,-0.781593,-0.284335,-0.555217,-0.889225,-0.148487,-0.432702,0,0,0,0,G03
1,1,0.974568,1.007098,1.045228,0.84842,-0.833583,0.459888,-0.306009,-0.751887,-0.110389,-0.649985,-0.822137,-0.13144,-0.553908,-0.829439,-0.072556,-0.553866,-0.915246,0.107989,-0.388153,0,0,0,0,G03
1,1,0.973246,1.016886,1.106352,0.899011,-0.774521,0.509407,-0.374995,-0.705086,-0.17903,-0.68615,-0.784239,-0.165102,-0.598089,-0.779007,-0.012319,-0.626894,-0.868479,0.159528,-0.469356,0,0,0,0,G03
1,1,0.967301,1.005847,1.095556,0.899198,-0.820337,0.462093,-0.336923,-0.678248,-0.201714,-0.706606,-0.75608,-0.209125,-0.620169,-0.775206,-0.13414,-0.617302,-0.875716,0.03926,-0.481228,0,0,0,0,G03
1,1,0.966165,1.004381,1.093259,0.897838,-0.818688,0.465482,-0.336268,-0.679932,-0.20311,-0.704584,-0.757472,-0.209786,-0.618244,-0.77506,-0.14088,-0.615983,-0.876688,0.034306,-0.479835,0,0,0,0,G03
1,1,0.945203,0.973136,1.078719,0.882268,-0.833377,0.439277,-0.335438,-0.680765,-0.294158,-0.670843,-0.751449,-0.293891,-0.590722,-0.786651,-0.231088,-0.572519,-0.891705,-0.080654,-0.445374,0,0,0,0,G03
1,1,0.943415,0.967861,1.062903,0.874249,-0.829311,0.444695,-0.338363,-0.693053,-0.287143,-0.661231,-0.762025,-0.292687,-0.577627,-0.802202,-0.237436,-0.54781,-0.898931,-0.086917,-0.429381,0,0,0,0,G03
1,1,0.893176,0.907928,1.011124,0.846215,-0.794851,0.488579,-0.359863,-0.654306,-0.377517,-0.65526,-0.744281,-0.373129,-0.553914,-0.787516,-0.287736,-0.545001,-0.886144,-0.131468,-0.444371,0,0,0,0,G03
1,1,0.941253,0.967839,1.096202,0.893138,-0.805709,0.469221,-0.361475,-0.68788,-0.284753,-0.667635,-0.761284,-0.28084,-0.584444,-0.790624,-0.145227,-0.594831,-0.888608,0.002848,-0.458659,0,0,0,0,G03
1,1,0.914074,0.936323,1.048102,0.858034,-0.810318,0.468716,-0.351695,-0.673022,-0.321949,-0.665876,-0.75132,-0.320987,-0.576616,-0.781388,-0.282449,-0.556466,-0.888573,-0.146972,-0.434554,0,0,0,0,G03
1,0.573563,1,0.604377,0.540063,0.470302,-0.072106,0.259596,-0.963022,-0.131906,0.864442,-0.485119,-0.201648,-0.959816,-0.195172,-0.375951,-0.915987,-0.140101,-0.609283,-0.760956,-0.222982,0,0,0,0,G04
1,0.522904,1,0.709656,0.646481,0.542588,0.063608,0.190147,-0.979693,-0.159569,0.827595,-0.538168,-0.18929,-0.95021,-0.247529,-0.320537,-0.926624,-0.196528,-0.529026,-0.791303,-0.306546,0,0,0,0,G04
1,0.529391,1,0.702507,0.641072,0.550881,0.043254,0.257575,-0.96529,-0.122405,0.884111,-0.450959,-0.235111,-0.918934,-0.316675,-0.369485,-0.888701,-0.271462,-0.585105,-0.696091,-0.416065,0,0,0,0,G04
1,0.524389,1,0.688381,0.629339,0.533767,0.078441,0.274772,-0.958304,-0.122039,0.895351,-0.428315,-0.218599,-0.926064,-0.307602,-0.355624,-0.895284,-0.268325,-0.598151,-0.702677,-0.385305,0,0,0,0,G04
