% 1. Title: Leap Database
%
% 2. Sources :
% (a)Creator : NIH and Binghamton FRI 2016
% (b)Date : Fall 2016
%
@RELATION asd

@ATTRIBUTE fingerDirection1x NUMERIC
@ATTRIBUTE fingerDirection1y NUMERIC
@ATTRIBUTE fingerDirection1z NUMERIC
@ATTRIBUTE fingerDirection2x NUMERIC
@ATTRIBUTE fingerDirection2y NUMERIC
@ATTRIBUTE fingerDirection2z NUMERIC
@ATTRIBUTE fingerDirection3x NUMERIC
@ATTRIBUTE fingerDirection3y NUMERIC
@ATTRIBUTE fingerDirection3z NUMERIC
@ATTRIBUTE fingerDirection4x NUMERIC
@ATTRIBUTE fingerDirection4y NUMERIC
@ATTRIBUTE fingerDirection4z NUMERIC
@ATTRIBUTE fingerDirection5x NUMERIC
@ATTRIBUTE fingerDirection5y NUMERIC
@ATTRIBUTE fingerDirection5z NUMERIC
@ATTRIBUTE fingertip1x NUMERIC
@ATTRIBUTE fingertip1y NUMERIC
@ATTRIBUTE fingertip1z NUMERIC
@ATTRIBUTE fingertip2x NUMERIC
@ATTRIBUTE fingertip2y NUMERIC
@ATTRIBUTE fingertip2z NUMERIC
@ATTRIBUTE fingertip3x NUMERIC
@ATTRIBUTE fingertip3y NUMERIC
@ATTRIBUTE fingertip3z NUMERIC
@ATTRIBUTE fingertip4x NUMERIC
@ATTRIBUTE fingertip4y NUMERIC
@ATTRIBUTE fingertip4z NUMERIC
@ATTRIBUTE fingertip5x NUMERIC
@ATTRIBUTE fingertip5y NUMERIC
@ATTRIBUTE fingertip5z NUMERIC
@ATTRIBUTE stableFingertip1x NUMERIC
@ATTRIBUTE stableFingertip1y NUMERIC
@ATTRIBUTE stableFingertip1z NUMERIC
@ATTRIBUTE stableFingertip2x NUMERIC
@ATTRIBUTE stableFingertip2y NUMERIC
@ATTRIBUTE stableFingertip2z NUMERIC
@ATTRIBUTE stableFingertip3x NUMERIC
@ATTRIBUTE stableFingertip3y NUMERIC
@ATTRIBUTE stableFingertip3z NUMERIC
@ATTRIBUTE stableFingertip4x NUMERIC
@ATTRIBUTE stableFingertip4y NUMERIC
@ATTRIBUTE stableFingertip4z NUMERIC
@ATTRIBUTE stableFingertip5x NUMERIC
@ATTRIBUTE stableFingertip5y NUMERIC
@ATTRIBUTE stableFingertip5z NUMERIC
@ATTRIBUTE extendedFinger1 NUMERIC
@ATTRIBUTE extendedFinger2 NUMERIC
@ATTRIBUTE extendedFinger3 NUMERIC
@ATTRIBUTE extendedFinger4 NUMERIC
@ATTRIBUTE extendedFinger5 NUMERIC
@ATTRIBUTE pinchStrength NUMERIC
@ATTRIBUTE grabStrength NUMERIC
@ATTRIBUTE palmPositionX NUMERIC
@ATTRIBUTE palmPositionY NUMERIC
@ATTRIBUTE palmPositionZ NUMERIC
@ATTRIBUTE stablePalmPositionX NUMERIC
@ATTRIBUTE stablePalmPositionY NUMERIC
@ATTRIBUTE stablePalmPositionZ NUMERIC
@ATTRIBUTE scaleFactor NUMERIC
@ATTRIBUTE frontMostFinger NUMERIC
@ATTRIBUTE class {G01,G02,G03,G04,G05,G06,G07,G08,G09,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25}

@DATA
-0.392704, 0.14253, -0.908553, 0.284767, -0.903644, 0.319899, 0.00433952, -0.910385, 0.413739, -0.15125, -0.906684, 0.393761, -0.4957, -0.795438, 0.348655, -48.0009, 158.397, -17.1783, -7.89137, 123.541, -0.608762, -2.33788, 116.573, 2.40809, 10.8258, 119.11, 3.99641, 18.9839, 131.768, 4.57316, -48.5381, 150.423, -16.2382, -10.3282, 125.045, -2.02911, -3.65228, 118.972, 0.914894, 10.7267, 118.423, -0.335516, 19.7257, 130.38, 0.846318, 1, 0, 0, 0, 0, 0.241783, 1, 10.4198, 171.766, 20.183, 8.64163, 166.136, 16.9862, 0.960819, 0, G01
-0.390359, 0.135431, -0.910647, 0.273401, -0.915576, 0.294912, -0.0143407, -0.919523, 0.392774, -0.182865, -0.920738, 0.344676, -0.506484, -0.808452, 0.299798, -48.5268, 157.697, -16.5241, -8.79359, 124.331, -0.653301, -3.55934, 117.585, 2.11415, 9.2292, 119.685, 2.25207, 18.2668, 132.112, 3.44977, -48.3408, 150.933, -15.9594, -10.2028, 125.203, -2.17862, -3.5893, 119.05, 0.704111, 10.7085, 118.544, -0.32634, 19.7452, 130.535, 0.861651, 1, 0, 0, 0, 0, 0.277749, 1, 10.1382, 172.323, 21.2673, 8.75421, 166.474, 17.1953, 0.939798, 0, G01
-0.3743, 0.123013, -0.919112, 0.219051, -0.955979, 0.195248, -0.0590499, -0.954302, 0.292953, -0.208647, -0.934375, 0.288808, -0.507299, -0.824686, 0.250081, -48.6618, 158.228, -17.0305, -11.6784, 120.812, -5.19466, -6.53012, 113.39, -2.5946, 6.93441, 116.455, -0.264434, 16.4526, 129.35, 1.42436, -48.2009, 151.569, -15.589, -10.4042, 125.219, -2.48816, -3.75852, 119.022, 0.385884, 10.3249, 118.798, -0.513744, 19.5588, 130.826, 0.788556, 1, 0, 0, 0, 0, 0.277896, 1, 9.43086, 172.331, 20.3222, 8.81001, 166.983, 17.5282, 0.959524, 0, G01
-0.375844, 0.124984, -0.918216, 0.195445, -0.967192, 0.162297, -0.0739673, -0.961224, 0.265663, -0.219722, -0.938337, 0.266918, -0.506286, -0.833758, 0.220278, -48.8302, 158.64, -17.2, -12.3893, 118.468, -6.79267, -7.23584, 110.931, -3.80545, 6.22415, 114.046, -1.18011, 15.9127, 127.174, 0.0879232, -48.153, 151.755, -15.5104, -10.7322, 124.9, -2.98366, -4.16352, 118.543, -0.273808, 10.0338, 118.679, -0.66871, 19.4389, 130.757, 0.693305, 1, 0, 0, 0, 0, 0.241297, 1, 9.4854, 171.727, 19.5789, 8.82415, 167.078, 17.5703, 0.977675, 0, G01
-0.380691, 0.129358, -0.91561, 0.165176, -0.984827, 0.0532174, -0.0859951, -0.982814, 0.163342, -0.221388, -0.964778, 0.142097, -0.483009, -0.8692, 0.105801, -49.0281, 158.885, -17.236, -13.2927, 117.297, -11.132, -7.83248, 109.814, -8.34323, 5.74751, 112.685, -6.64234, 15.8395, 126.206, -4.00186, -48.0345, 152.279, -15.2932, -11.3961, 124.016, -4.0387, -5.00625, 117.362, -1.62559, 9.50976, 118.21, -1.12839, 19.0046, 130.202, 0.181148, 1, 0, 0, 0, 0, 0.234279, 1, 9.30076, 172.621, 19.5864, 8.87843, 167.477, 17.7239, 0.986689, 0, G01
-0.380093, 0.142595, -0.913891, 0.178748, -0.983829, 0.0113928, -0.0727737, -0.989265, 0.126722, -0.204425, -0.973775, 0.0998612, -0.465935, -0.882785, 0.0599595, -48.5409, 161.359, -17.3516, -11.5137, 120.658, -12.6703, -6.11884, 113.067, -9.62027, 7.38805, 116.372, -8.37434, 17.1705, 130.022, -5.52889, -47.8676, 153.182, -15.0269, -11.6479, 123.796, -5.43171, -5.30137, 116.969, -3.30738, 9.20163, 118.256, -2.44608, 18.8947, 130.418, -0.966996, 1, 0, 0, 0, 0, 0.231413, 1, 9.91647, 175.889, 19.9746, 9.00044, 168.831, 18.1217, 0.98559, 1, G01
-0.364441, 0.109009, -0.924824, 0.144082, -0.989539, 0.00722505, -0.105141, -0.987074, 0.120955, -0.234264, -0.967413, 0.0960813, -0.483636, -0.873361, 0.0577593, -47.0645, 159.323, -17.8242, -11.9605, 119.088, -13.3263, -6.59145, 111.519, -10.5871, 7.17758, 114.447, -9.1459, 17.6902, 127.882, -6.20666, -47.4409, 154.3, -14.7131, -11.7046, 123.809, -6.20471, -5.33121, 116.954, -3.67091, 9.151, 118.333, -2.84118, 18.9456, 130.63, -1.56941, 1, 0, 0, 0, 0, 0.270123, 1, 11.4875, 174.813, 19.2192, 9.34589, 170.033, 18.4224, 0.975448, 1, G01
-0.369966, 0.105836, -0.922997, 0.103546, -0.994608, 0.00582208, -0.137319, -0.983062, 0.121378, -0.263023, -0.960298, 0.0929895, -0.506344, -0.860945, 0.048877, -48.3246, 160.312, -17.8388, -15.2177, 117.789, -13.2416, -9.76871, 110.051, -10.2029, 4.19803, 112.773, -9.01822, 15.247, 126.043, -6.24479, -47.2555, 154.904, -14.5754, -11.9261, 123.672, -6.97117, -5.53387, 116.769, -4.4608, 8.85735, 118.259, -3.8332, 18.8677, 130.621, -2.53248, 1, 0, 0, 0, 0, 0.254998, 1, 10.232, 174.195, 19.0641, 9.47539, 170.47, 18.5067, 0.987427, 1, G01
-0.382041, 0.142126, -0.913151, 0.12904, -0.989738, -0.0613764, -0.11107, -0.992602, 0.0490307, -0.23322, -0.972111, 0.0246546, -0.47561, -0.879492, -0.0170184, -48.7454, 161.471, -17.5112, -13.978, 120.07, -15.7465, -8.27395, 112.376, -13.4062, 5.73392, 115.437, -11.6845, 16.4051, 128.855, -8.02174, -47.1601, 155.349, -14.4815, -12.5429, 123.318, -8.44075, -6.06501, 116.329, -5.75723, 8.17215, 117.951, -5.51635, 18.5807, 130.398, -4.09685, 1, 0, 0, 0, 0, 0.253221, 1, 9.67784, 175.59, 20.3566, 9.54657, 170.797, 18.5731, 0.991296, 1, G01
-0.379699, 0.127006, -0.91635, 0.101089, -0.993014, -0.0608582, -0.130338, -0.990089, 0.0523003, -0.250991, -0.967703, 0.0235398, -0.491847, -0.870466, -0.01935, -49.0425, 162.614, -17.3028, -15.7534, 120.884, -15.5996, -9.90453, 113.107, -13.2064, 4.24837, 115.919, -11.8836, 15.3398, 129.177, -8.3692, -47.1699, 156.396, -14.266, -13.0348, 123.561, -9.83738, -6.37247, 116.461, -6.85773, 7.82944, 118.297, -6.69906, 18.421, 130.85, -5.00372, 1, 0, 0, 0, 0, 0.269191, 1, 9.63753, 176.649, 20.1184, 9.52487, 171.768, 18.8519, 0.98911, 1, G01
